Ping_ID,Shipment_ID,Waypoint_Seq,Recorded_At,Vehicle_Speed_KMH,Instantaneous_Temp_C,Ambient_Temp_C,Compressor_Power_KW,Door_State
PING-1,SHP-1000,1,2026-03-01 06:00:00,51,3.64,27.93,2.4,CLOSED
PING-2,SHP-1000,2,2026-03-01 06:49:00,65,3.37,26.04,2.4,CLOSED
PING-3,SHP-1000,3,2026-03-01 07:25:00,0,7.64,30.41,4.8,OPEN
PING-4,SHP-1000,4,2026-03-01 08:20:00,55,6.44,25.64,2.4,CLOSED
PING-5,SHP-1000,5,2026-03-01 09:12:00,59,5.24,25.77,2.4,CLOSED
PING-6,SHP-1000,6,2026-03-01 09:59:00,46,4.04,30.1,2.4,CLOSED
PING-7,SHP-1000,7,2026-03-01 10:40:00,0,7.56,26.81,4.8,OPEN
PING-8,SHP-1000,8,2026-03-01 11:28:00,63,6.36,26.12,2.4,CLOSED
PING-9,SHP-1000,9,2026-03-01 12:27:00,70,5.16,30.27,2.4,CLOSED
PING-10,SHP-1000,10,2026-03-01 13:24:00,64,3.96,30.17,2.4,CLOSED
PING-11,SHP-1000,11,2026-03-01 14:01:00,46,3.78,26.89,2.4,CLOSED
PING-12,SHP-1000,12,2026-03-01 14:45:00,72,3.64,27.06,2.4,CLOSED
PING-101,SHP-1001,1,2026-03-01 08:00:00,74,4.27,38.46,2.4,CLOSED
PING-102,SHP-1001,2,2026-03-01 08:37:00,70,4.4,38.95,2.4,CLOSED
PING-103,SHP-1001,3,2026-03-01 09:31:00,62,4.4,38.21,2.4,CLOSED
PING-104,SHP-1001,4,2026-03-01 10:06:00,46,4.16,39.36,2.4,CLOSED
PING-105,SHP-1001,5,2026-03-01 10:48:00,74,4.17,37.23,2.4,CLOSED
PING-106,SHP-1001,6,2026-03-01 11:33:00,52,4.32,36.28,2.4,CLOSED
PING-107,SHP-1001,7,2026-03-01 12:15:00,75,4.12,40.3,2.4,CLOSED
PING-108,SHP-1001,8,2026-03-01 13:05:00,71,4.34,36.89,2.4,CLOSED
PING-201,SHP-1002,1,2026-03-01 10:00:00,53,3.66,28.51,2.4,CLOSED
PING-202,SHP-1002,2,2026-03-01 10:52:00,49,3.79,32.64,2.4,CLOSED
PING-203,SHP-1002,3,2026-03-01 11:33:00,58,4.08,27.33,2.4,CLOSED
PING-204,SHP-1002,4,2026-03-01 12:16:00,67,4.16,30.07,2.4,CLOSED
PING-205,SHP-1002,5,2026-03-01 13:02:00,64,4.19,27.59,2.4,CLOSED
PING-206,SHP-1002,6,2026-03-01 13:46:00,71,4.04,29.74,2.4,CLOSED
PING-207,SHP-1002,7,2026-03-01 14:45:00,71,3.98,31.54,2.4,CLOSED
PING-208,SHP-1002,8,2026-03-01 15:23:00,67,3.98,31.87,2.4,CLOSED
PING-301,SHP-1003,1,2026-03-01 12:00:00,74,3.05,43.5,2.4,CLOSED
PING-302,SHP-1003,2,2026-03-01 12:50:00,56,2.95,42.54,2.4,CLOSED
PING-303,SHP-1003,3,2026-03-01 13:47:00,0,7.06,42.84,4.8,OPEN
PING-304,SHP-1003,4,2026-03-01 14:38:00,47,5.86,39.44,2.4,CLOSED
PING-305,SHP-1003,5,2026-03-01 15:35:00,65,4.66,38.6,2.4,CLOSED
PING-306,SHP-1003,6,2026-03-01 16:12:00,66,3.46,38.58,2.4,CLOSED
PING-307,SHP-1003,7,2026-03-01 16:51:00,0,6.69,42.36,4.8,OPEN
PING-308,SHP-1003,8,2026-03-01 17:42:00,52,5.49,42.47,2.4,CLOSED
PING-401,SHP-1004,1,2026-03-01 14:00:00,46,3.72,37.11,2.4,CLOSED
PING-402,SHP-1004,2,2026-03-01 14:46:00,74,3.59,35.75,2.4,CLOSED
PING-403,SHP-1004,3,2026-03-01 15:44:00,63,3.49,34.79,2.4,CLOSED
PING-404,SHP-1004,4,2026-03-01 16:43:00,55,3.24,32.69,2.4,CLOSED
PING-405,SHP-1004,5,2026-03-01 17:24:00,57,3.23,33.81,2.4,CLOSED
PING-406,SHP-1004,6,2026-03-01 18:20:00,47,3.49,32.79,2.4,CLOSED
PING-407,SHP-1004,7,2026-03-01 19:11:00,53,3.41,33.26,2.4,CLOSED
PING-408,SHP-1004,8,2026-03-01 19:54:00,49,3.62,35.54,2.4,CLOSED
PING-409,SHP-1004,9,2026-03-01 20:42:00,58,3.5,33.05,2.4,CLOSED
PING-410,SHP-1004,10,2026-03-01 21:32:00,45,3.25,35.09,2.4,CLOSED
PING-411,SHP-1004,11,2026-03-01 22:11:00,58,2.99,31.92,2.4,CLOSED
PING-412,SHP-1004,12,2026-03-01 23:08:00,64,2.71,34.05,2.4,CLOSED
PING-501,SHP-1005,1,2026-03-01 16:00:00,46,4.0,26.31,2.4,CLOSED
PING-502,SHP-1005,2,2026-03-01 16:45:00,53,4.15,25.13,2.4,CLOSED
PING-503,SHP-1005,3,2026-03-01 17:22:00,0,7.06,27.91,4.8,OPEN
PING-504,SHP-1005,4,2026-03-01 17:58:00,75,5.86,26.55,2.4,CLOSED
PING-505,SHP-1005,5,2026-03-01 18:38:00,48,4.66,25.13,2.4,CLOSED
PING-506,SHP-1005,6,2026-03-01 19:36:00,66,3.46,26.96,2.4,CLOSED
PING-507,SHP-1005,7,2026-03-01 20:27:00,0,6.39,28.14,4.8,OPEN
PING-508,SHP-1005,8,2026-03-01 21:03:00,63,5.19,24.99,2.4,CLOSED
PING-601,SHP-1006,1,2026-03-01 18:00:00,65,3.64,31.5,2.4,CLOSED
PING-602,SHP-1006,2,2026-03-01 18:58:00,66,3.86,30.72,2.4,CLOSED
PING-603,SHP-1006,3,2026-03-01 19:49:00,49,3.9,30.77,2.4,CLOSED
PING-604,SHP-1006,4,2026-03-01 20:44:00,72,3.98,29.89,2.4,CLOSED
PING-605,SHP-1006,5,2026-03-01 21:24:00,52,3.84,28.38,2.4,CLOSED
PING-606,SHP-1006,6,2026-03-01 21:59:00,56,3.91,29.92,2.4,CLOSED
PING-607,SHP-1006,7,2026-03-01 22:43:00,56,4.02,27.74,2.4,CLOSED
PING-608,SHP-1006,8,2026-03-01 23:30:00,56,4.14,31.46,2.4,CLOSED
PING-701,SHP-1007,1,2026-03-01 20:00:00,54,3.93,36.96,2.4,CLOSED
PING-702,SHP-1007,2,2026-03-01 20:36:00,72,4.21,38.36,2.4,CLOSED
PING-703,SHP-1007,3,2026-03-01 21:34:00,0,7.77,39.06,4.8,OPEN
PING-704,SHP-1007,4,2026-03-01 22:21:00,47,6.57,36.91,2.4,CLOSED
PING-705,SHP-1007,5,2026-03-01 23:11:00,63,5.37,37.58,2.4,CLOSED
PING-706,SHP-1007,6,2026-03-02 00:09:00,70,4.17,37.03,2.4,CLOSED
PING-707,SHP-1007,7,2026-03-02 01:07:00,0,8.5,41.89,4.8,OPEN
PING-708,SHP-1007,8,2026-03-02 01:43:00,69,7.3,39.41,2.4,CLOSED
PING-709,SHP-1007,9,2026-03-02 02:35:00,76,6.1,40.19,2.4,CLOSED
PING-710,SHP-1007,10,2026-03-02 03:30:00,73,4.9,41.02,2.4,CLOSED
PING-801,SHP-1008,1,2026-03-01 22:00:00,63,3.25,28.94,2.4,CLOSED
PING-802,SHP-1008,2,2026-03-01 22:54:00,69,3.44,28.61,2.4,CLOSED
PING-803,SHP-1008,3,2026-03-01 23:34:00,0,6.28,27.49,4.8,OPEN
PING-804,SHP-1008,4,2026-03-02 00:11:00,62,5.08,27.26,2.4,CLOSED
PING-805,SHP-1008,5,2026-03-02 01:06:00,77,3.88,27.92,2.4,CLOSED
PING-806,SHP-1008,6,2026-03-02 01:49:00,75,3.61,29.92,2.4,CLOSED
PING-807,SHP-1008,7,2026-03-02 02:30:00,0,7.22,25.27,4.8,OPEN
PING-808,SHP-1008,8,2026-03-02 03:09:00,52,6.02,26.48,2.4,CLOSED
PING-809,SHP-1008,9,2026-03-02 04:08:00,67,4.82,26.97,2.4,CLOSED
PING-810,SHP-1008,10,2026-03-02 05:01:00,75,3.62,30.13,2.4,CLOSED
PING-811,SHP-1008,11,2026-03-02 05:37:00,48,3.56,26.71,2.4,CLOSED
PING-812,SHP-1008,12,2026-03-02 06:16:00,57,3.65,26.12,2.4,CLOSED
PING-901,SHP-1009,1,2026-03-02 00:00:00,49,4.04,36.41,2.4,CLOSED
PING-902,SHP-1009,2,2026-03-02 00:44:00,72,4.32,37.75,2.4,CLOSED
PING-903,SHP-1009,3,2026-03-02 01:30:00,0,7.2,34.64,4.8,OPEN
PING-904,SHP-1009,4,2026-03-02 02:06:00,73,6.0,37.61,2.4,CLOSED
PING-905,SHP-1009,5,2026-03-02 03:05:00,77,4.8,36.19,2.4,CLOSED
PING-906,SHP-1009,6,2026-03-02 03:59:00,76,3.6,37.81,2.4,CLOSED
PING-907,SHP-1009,7,2026-03-02 04:40:00,0,6.57,33.85,4.8,OPEN
PING-908,SHP-1009,8,2026-03-02 05:38:00,65,5.37,34.4,2.4,CLOSED
PING-909,SHP-1009,9,2026-03-02 06:29:00,65,4.17,35.11,2.4,CLOSED
PING-910,SHP-1009,10,2026-03-02 07:06:00,62,4.27,37.39,2.4,CLOSED
PING-1001,SHP-1010,1,2026-03-02 02:00:00,70,-20.11,35.12,2.4,CLOSED
PING-1002,SHP-1010,2,2026-03-02 02:50:00,76,-19.89,33.75,2.4,CLOSED
PING-1003,SHP-1010,3,2026-03-02 03:48:00,0,-16.81,34.36,4.8,OPEN
PING-1004,SHP-1010,4,2026-03-02 04:34:00,77,-18.01,35.65,2.4,CLOSED
PING-1005,SHP-1010,5,2026-03-02 05:17:00,65,-19.21,34.26,2.4,CLOSED
PING-1006,SHP-1010,6,2026-03-02 05:53:00,49,-19.43,33.78,2.4,CLOSED
PING-1007,SHP-1010,7,2026-03-02 06:31:00,0,-15.96,33.94,4.8,OPEN
PING-1008,SHP-1010,8,2026-03-02 07:14:00,74,-17.16,35.55,2.4,CLOSED
PING-1009,SHP-1010,9,2026-03-02 08:05:00,50,-18.36,34.0,2.4,CLOSED
PING-1010,SHP-1010,10,2026-03-02 08:41:00,50,-19.56,34.47,2.4,CLOSED
PING-1101,SHP-1011,1,2026-03-02 04:00:00,62,3.44,29.52,2.4,CLOSED
PING-1102,SHP-1011,2,2026-03-02 04:36:00,49,3.23,29.34,2.4,CLOSED
PING-1103,SHP-1011,3,2026-03-02 05:32:00,46,3.38,30.33,2.4,CLOSED
PING-1104,SHP-1011,4,2026-03-02 06:15:00,48,3.32,29.62,2.4,CLOSED
PING-1105,SHP-1011,5,2026-03-02 06:54:00,72,3.36,26.05,2.4,CLOSED
PING-1106,SHP-1011,6,2026-03-02 07:42:00,56,3.2,28.17,2.4,CLOSED
PING-1107,SHP-1011,7,2026-03-02 08:25:00,60,3.29,28.77,2.4,CLOSED
