Origin_Facility,Destination_Facility,Beer_Shipments,Corridor_Peak_Ambient_C,Max_Internal_Temp_C,Avg_Door_Open_Mins,Spoiled_Beer_Loads,Beer_Degradation_Rate_Pct,Total_Beer_Value_Lost_USD
AB InBev Brewery - Bengaluru Hub,Goa Coastal Transit Hub,15,37.41,11.53,69.0,7,46.67,294571.45
AB InBev Brewery - Bengaluru Hub,Hyderabad Metro Depot,20,39.48,9.69,37.5,5,25.0,187836.29
Maharashtra Distribution Center,Mumbai Urban Distribution Center,12,40.25,10.31,43.8,3,25.0,92028.54
Maharashtra Distribution Center,Goa Coastal Transit Hub,17,39.02,9.85,33.8,4,23.53,142086.3
Punjab Regional Cold Hub,Delhi NCR Mega Fulfillment,13,39.31,9.83,40.2,3,23.08,120000.19
Haryana Bottling Facility,Delhi NCR Mega Fulfillment,22,39.39,9.62,37.3,5,22.73,169075.48
Maharashtra Distribution Center,Hyderabad Metro Depot,22,38.08,9.88,38.5,5,22.73,186107.08
Punjab Regional Cold Hub,Hyderabad Metro Depot,15,37.18,9.55,42.3,3,20.0,81581.2
Gujarat BioPharma Park,Kolkata Eastern Terminal,21,40.99,9.48,36.7,4,19.05,146988.23
Punjab Regional Cold Hub,Kolkata Eastern Terminal,22,38.98,9.52,40.2,4,18.18,106211.48
Maharashtra Distribution Center,Delhi NCR Mega Fulfillment,23,36.92,9.09,31.6,4,17.39,124583.17
Haryana Bottling Facility,Hyderabad Metro Depot,19,39.3,9.92,43.4,3,15.79,106094.67
Haryana Bottling Facility,Mumbai Urban Distribution Center,19,37.39,10.28,45.2,3,15.79,125397.65
Punjab Regional Cold Hub,Mumbai Urban Distribution Center,19,37.59,9.65,45.5,3,15.79,133805.66
AB InBev Brewery - Bengaluru Hub,Kolkata Eastern Terminal,21,40.09,10.26,45.1,3,14.29,117824.84
Gujarat BioPharma Park,Hyderabad Metro Depot,21,37.34,9.84,39.6,3,14.29,114244.62
Gujarat BioPharma Park,Goa Coastal Transit Hub,25,39.72,8.8,31.5,3,12.0,100523.84
AB InBev Brewery - Bengaluru Hub,Mumbai Urban Distribution Center,21,39.49,9.0,30.0,2,9.52,51789.29
Gujarat BioPharma Park,Mumbai Urban Distribution Center,22,39.85,8.52,25.2,2,9.09,67245.05
Haryana Bottling Facility,Goa Coastal Transit Hub,22,39.57,9.63,35.0,2,9.09,63197.41
AB InBev Brewery - Bengaluru Hub,Delhi NCR Mega Fulfillment,12,40.62,9.35,27.0,1,8.33,32532.29
Maharashtra Distribution Center,Kolkata Eastern Terminal,15,41.88,9.97,39.6,1,6.67,24116.5
Gujarat BioPharma Park,Delhi NCR Mega Fulfillment,17,37.74,9.29,32.6,1,5.88,22881.17
Punjab Regional Cold Hub,Goa Coastal Transit Hub,22,36.75,9.0,27.5,1,4.55,51427.53
Haryana Bottling Facility,Kolkata Eastern Terminal,22,39.43,8.88,24.6,0,0.0,0.0
