Shipment_ID,Waypoint_Seq,Recorded_At,Door_State,Prev_Reefer_Temp_C,Instantaneous_Temp_C,Thermal_Drift_Rate_C,Excursion_Status
SHP-1119,7,2026-03-11 09:06:00,OPEN,4.23,8.63,4.4,CRITICAL THERMAL SPIKE (>2.5C)
SHP-1030,3,2026-03-03 19:29:00,OPEN,3.49,7.88,4.39,CRITICAL THERMAL SPIKE (>2.5C)
SHP-1292,3,2026-03-25 15:22:00,OPEN,3.7,8.09,4.39,CRITICAL THERMAL SPIKE (>2.5C)
SHP-1243,3,2026-03-21 13:51:00,OPEN,3.45,7.83,4.38,CRITICAL THERMAL SPIKE (>2.5C)
SHP-1018,3,2026-03-02 19:34:00,OPEN,3.73,8.1,4.37,CRITICAL THERMAL SPIKE (>2.5C)
SHP-1065,3,2026-03-06 17:49:00,OPEN,-19.84,-15.47,4.37,CRITICAL THERMAL SPIKE (>2.5C)
SHP-1067,3,2026-03-06 21:18:00,OPEN,2.22,6.59,4.37,CRITICAL THERMAL SPIKE (>2.5C)
SHP-1178,3,2026-03-16 03:47:00,OPEN,2.69,7.05,4.36,CRITICAL THERMAL SPIKE (>2.5C)
SHP-1294,3,2026-03-25 19:46:00,OPEN,-19.61,-15.25,4.36,CRITICAL THERMAL SPIKE (>2.5C)
SHP-1111,7,2026-03-10 16:12:00,OPEN,4.08,8.43,4.35,CRITICAL THERMAL SPIKE (>2.5C)
SHP-1318,7,2026-03-27 22:57:00,OPEN,3.33,7.67,4.34,CRITICAL THERMAL SPIKE (>2.5C)
SHP-1007,7,2026-03-02 01:07:00,OPEN,4.17,8.5,4.33,CRITICAL THERMAL SPIKE (>2.5C)
SHP-1174,7,2026-03-15 22:41:00,OPEN,3.68,8.01,4.33,CRITICAL THERMAL SPIKE (>2.5C)
SHP-1151,7,2026-03-14 00:28:00,OPEN,4.42,8.74,4.32,CRITICAL THERMAL SPIKE (>2.5C)
SHP-1326,3,2026-03-28 11:31:00,OPEN,-19.54,-15.22,4.32,CRITICAL THERMAL SPIKE (>2.5C)
SHP-1200,3,2026-03-17 23:31:00,OPEN,-20.34,-16.03,4.31,CRITICAL THERMAL SPIKE (>2.5C)
SHP-1343,3,2026-03-29 21:28:00,OPEN,2.42,6.73,4.31,CRITICAL THERMAL SPIKE (>2.5C)
SHP-1254,3,2026-03-22 11:50:00,OPEN,4.3,8.6,4.3,CRITICAL THERMAL SPIKE (>2.5C)
SHP-1282,3,2026-03-24 19:49:00,OPEN,3.74,8.04,4.3,CRITICAL THERMAL SPIKE (>2.5C)
SHP-1186,3,2026-03-16 19:27:00,OPEN,3.5,7.79,4.29,CRITICAL THERMAL SPIKE (>2.5C)
SHP-1289,7,2026-03-25 12:29:00,OPEN,4.32,8.61,4.29,CRITICAL THERMAL SPIKE (>2.5C)
SHP-1052,3,2026-03-05 15:34:00,OPEN,3.68,7.96,4.28,CRITICAL THERMAL SPIKE (>2.5C)
SHP-1226,7,2026-03-20 06:24:00,OPEN,2.95,7.23,4.28,CRITICAL THERMAL SPIKE (>2.5C)
SHP-1000,3,2026-03-01 07:25:00,OPEN,3.37,7.64,4.27,CRITICAL THERMAL SPIKE (>2.5C)
SHP-1164,3,2026-03-14 23:29:00,OPEN,2.76,7.03,4.27,CRITICAL THERMAL SPIKE (>2.5C)
